DATE,ALL_SENDS,REMOTE_NOTIFICATION_RECEIVED,REMOTE_NOTIFICATION_DISPLAY,REMOTE_NOTIFICATION_OPEN
3/18/2023,0,0,0,0
3/19/2023,0,0,0,0
3/20/2023,0,0,0,0
3/21/2023,0,0,0,0
3/22/2023,0,0,0,0
3/23/2023,0,0,0,0
3/24/2023,0,0,0,0
3/25/2023,0,0,0,0
3/26/2023,0,0,0,0
3/27/2023,0,0,0,0
3/28/2023,0,0,0,0
3/29/2023,0,0,0,0
3/30/2023,0,0,0,0
3/31/2023,0,0,0,0
4/1/2023,0,0,0,0
4/2/2023,0,0,0,0
4/3/2023,0,0,0,0
4/4/2023,0,0,0,0
4/5/2023,0,0,0,0
4/6/2023,0,0,0,0
4/7/2023,0,0,0,0
4/8/2023,0,0,0,0
4/9/2023,0,0,0,0
4/10/2023,0,0,0,0
4/11/2023,0,0,0,0
4/12/2023,0,0,0,0
4/13/2023,0,0,0,0
4/14/2023,0,0,0,0
4/15/2023,0,0,0,0
4/16/2023,0,0,0,0
4/17/2023,0,0,0,0
4/18/2023,0,0,0,0
4/19/2023,0,0,0,0
4/20/2023,0,0,0,0
4/21/2023,0,0,0,0
4/22/2023,0,0,0,0
4/23/2023,0,0,0,0
4/24/2023,0,0,0,0
4/25/2023,0,0,0,0
4/26/2023,0,0,0,0
4/27/2023,0,0,0,0
4/28/2023,0,0,0,0
4/29/2023,0,0,0,0
4/30/2023,0,0,0,0
5/1/2023,0,0,0,0
5/2/2023,0,0,0,0
5/3/2023,0,0,0,0
5/4/2023,0,0,0,0
5/5/2023,0,0,0,0
5/6/2023,0,0,0,0
5/7/2023,0,0,0,0
5/8/2023,0,0,0,0
5/9/2023,0,0,0,0
5/10/2023,0,0,0,0
5/11/2023,0,0,0,0
5/12/2023,0,0,0,0
5/13/2023,0,0,0,0
5/14/2023,0,0,0,0
5/15/2023,0,0,0,0
5/16/2023,0,0,0,0
5/17/2023,0,0,0,0
5/18/2023,0,0,0,0
5/19/2023,0,0,0,0
5/20/2023,0,0,0,0
5/21/2023,0,0,0,0
5/22/2023,0,0,0,0
5/23/2023,0,0,0,0
5/24/2023,0,0,0,0
5/25/2023,0,0,0,0
5/26/2023,0,0,0,0
5/27/2023,0,0,0,0
5/28/2023,0,0,0,0
5/29/2023,0,0,0,0
5/30/2023,0,0,0,0
5/31/2023,0,0,0,0
6/1/2023,0,0,0,0
6/2/2023,0,0,0,0
6/3/2023,0,0,0,0
6/4/2023,0,0,0,0
6/5/2023,0,0,0,0
6/6/2023,18,0,0,0
6/7/2023,3,0,0,0
6/8/2023,1,0,0,0
6/9/2023,0,0,0,0
6/10/2023,0,0,0,0
6/11/2023,0,0,0,0
6/12/2023,2,0,0,0
6/13/2023,0,0,0,0
6/14/2023,12,0,0,0
6/15/2023,28,0,0,0
6/16/2023,119,0,0,0